"HUC8","Name","States","AreaSqKm","AreaAcres","swe_date","swe_mean_mm","swe_mean_in","swe_min_mm","swe_max_mm","swe_volume_af","swe_volume_kaf"
"17100103","Upper Chehalis","WA",3362.55,830902.26,"2003-10-01",0,0,0,0,0,0
"17110009","Skykomish","WA",2156.48,532878.12,"2003-10-01",0,0,0,0,0,0
"17110001","Sumas River","CN,WA",1621.89,400777.63,"2003-10-01",0,0,0,0,0,0
"17100101","Hoh-Quillayute","WA",3907.26,965504.29,"2003-10-01",0,0,0,0,0,0
"17100102","Queets-Quinault","WA",3530.95,872515.69,"2003-10-01",0,0,0,0,0,0
"17100104","Lower Chehalis","WA",2118.55,523505.03,"2003-10-01",0,0,0,0,0,0
"17100105","Grays Harbor","WA",1520.73,375780.47,"2003-10-01",0,0,0,0,0,0
"17100106","Willapa Bay","OR,WA",3282.29,811071.35,"2003-10-01",0,0,0,0,0,0
"17110004","Nooksack","CN,WA",2639.26,652175.57,"2003-10-01",0,0,0,0,0,0
"17110006","Sauk","WA",1896.86,468724.2,"2003-10-01",0,0,0,0,0,0
"17110007","Lower Skagit","WA",1172.42,289711.45,"2003-10-01",0,0,0,0,0,0
"17110008","Stillaguamish","WA",1818.76,449425.75,"2003-10-01",0,0,0,0,0,0
"17110010","Snoqualmie","WA",1788.75,442009.76,"2003-10-01",0,0,0,0,0,0
"17110011","Snohomish","WA",768.69,189946.58,"2003-10-01",0,0,0,0,0,0
"17110012","Lake Washington","WA",1572.34,388533.47,"2003-10-01",0,0,0,0,0,0
"17110013","Duwamish","WA",1257.91,310836.93,"2003-10-01",0,0,0,0,0,0
"17110014","Puyallup","WA",2550.7,630291.21,"2003-10-01",0.1,0.004,0,469,207,0.21
"17110015","Nisqually","WA",1991.42,492089.15,"2003-10-01",0.16,0.006,0,469,258,0.26
"17110016","Deschutes","WA",442.17,109262.15,"2003-10-01",0,0,0,0,0,0
"17110017","Skokomish","WA",634.47,156780.3,"2003-10-01",0,0,0,0,0,0
"17110018","Hood Canal","WA",2459.09,607653.12,"2003-10-01",0,0,0,0,0,0
"17110019","Puget Sound","WA",6355.87,1570568.95,"2003-10-01",0,0,0,0,0,0
"17110002","Strait of Georgia","CN,WA",2866.83,708408.58,"2003-10-01",0,0,0,0,0,0
"17110003","San Juan Islands","CN,WA",3130.08,773457.82,"2003-10-01",NA,NA,NA,NA,NA,NA
"17110005","Upper Skagit","CN,WA",5206.9,1286652.51,"2003-10-01",0,0,0,0,0,0
"17110020","Dungeness-Elwha","CN,WA",4233.59,1046141.26,"2003-10-01",0,0,0,0,0,0
"17110021","Crescent-Hoko","CN,WA",6393.74,1579927.05,"2003-10-01",0,0,0,0,0,0
"17010303","Coeur d'Alene Lake","ID,WA",1707.21,421860.89,"2003-10-01",0,0,0,0,0,0
"17060306","Clearwater","ID,WA",6102.02,1507839.43,"2003-10-01",0,0,0,0,0,0
"17010214","Pend Oreille Lake","ID,WA",3141.11,776185.24,"2003-10-01",0,0,0,0,0,0
"17010215","Priest","CN,ID,WA",2541.2,627944.33,"2003-10-01",0,0,0,0,0,0
"17010306","Hangman","ID,WA",1794.04,443315.97,"2003-10-01",0,0,0,0,0,0
"17060106","Lower Grande Ronde","OR,WA",3932.5,971740.7,"2003-10-01",0,0,0,0,0,0
"17060103","Lower Snake-Asotin","ID,OR,WA",1803.4,445630.15,"2003-10-01",0,0,0,0,0,0
"17070101","Middle Columbia-Lake Wallula","OR,WA",6644.5,1641890.23,"2003-10-01",0,0,0,0,0,0
"17070102","Walla Walla","OR,WA",4600.97,1136922.38,"2003-10-01",0,0,0,0,0,0
"17070105","Middle Columbia-Hood","OR,WA",5589.01,1381072.51,"2003-10-01",0,0,0,0,0,0
"17080001","Lower Columbia-Sandy","OR,WA",2264.34,559530.73,"2003-10-01",0,0,0,0,0,0
"17080003","Lower Columbia-Clatskanie","OR,WA",2964.24,732479.8,"2003-10-01",0,0,0,0,0,0
